datetime,Open,High,Low,Close,Volume
2026-01-27 23:05:00,61.769,61.849,61.729,61.849,229.0
2026-01-27 23:10:00,61.839,61.849,61.779,61.809,203.0
2026-01-27 23:15:00,61.814,61.849,61.739,61.839,251.0
2026-01-27 23:20:00,61.849,61.899,61.829,61.869,247.0
2026-01-27 23:25:00,61.859,62.06,61.839,61.96,559.0
2026-01-27 23:30:00,61.97,62.04,61.929,61.949,349.0
2026-01-27 23:35:00,61.939,62.07,61.939,62.04,248.0
2026-01-27 23:40:00,62.045,62.05,61.954,62.01,253.0
2026-01-27 23:45:00,62.0,62.03,61.959,62.01,210.0
2026-01-27 23:50:00,62.02,62.05,61.979,62.01,220.0
2026-01-27 23:55:00,61.999,62.05,61.979,61.989,200.0
2026-01-28 00:00:00,61.979,62.16,61.959,62.11,399.0
2026-01-28 00:05:00,62.12,62.13,62.04,62.07,364.0
2026-01-28 00:10:00,62.065,62.14,62.06,62.08,258.0
2026-01-28 00:15:00,62.085,62.11,62.029,62.07,255.0
2026-01-28 00:20:00,62.065,62.12,62.05,62.12,183.0
2026-01-28 00:25:00,62.115,62.19,62.11,62.17,291.0
2026-01-28 00:30:00,62.16,62.2,62.15,62.18,284.0
2026-01-28 00:35:00,62.185,62.28,62.17,62.2,289.0
2026-01-28 00:40:00,62.205,62.25,62.16,62.17,196.0
2026-01-28 00:45:00,62.175,62.19,62.079,62.11,257.0
2026-01-28 00:50:00,62.115,62.17,62.079,62.099,164.0
2026-01-28 00:55:00,62.094,62.17,62.079,62.17,184.0
2026-01-28 01:00:00,62.16,62.19,62.15,62.16,95.0
2026-01-28 01:05:00,62.15,62.19,62.099,62.17,153.0
2026-01-28 01:10:00,62.16,62.22,62.155,62.18,127.0
2026-01-28 01:15:00,62.17,62.315,62.17,62.3,198.0
2026-01-28 01:20:00,62.31,62.31,62.23,62.24,155.0
2026-01-28 01:25:00,62.25,62.28,62.21,62.22,162.0
2026-01-28 01:30:00,62.21,62.22,62.069,62.069,196.0
2026-01-28 01:35:00,62.079,62.109,62.019,62.079,207.0
2026-01-28 01:40:00,62.089,62.109,62.029,62.064,194.0
2026-01-28 01:45:00,62.059,62.139,62.059,62.124,143.0
2026-01-28 01:50:00,62.119,62.119,62.039,62.059,146.0
2026-01-28 01:55:00,62.054,62.079,62.019,62.049,199.0
2026-01-28 02:00:00,62.059,62.139,62.039,62.139,239.0
2026-01-28 02:05:00,62.129,62.219,62.114,62.214,134.0
2026-01-28 02:10:00,62.219,62.29,62.219,62.27,201.0
2026-01-28 02:15:00,62.275,62.33,62.26,62.285,188.0
